log2FoldChange	pvalue
ENSG00000127412	6.32127661428694	0.000265241626995034
ENSG00000140279	6.07010638853093	0.000697414004265329
ENSG00000249007	5.73580305541097	5.42335798416725e-07
ENSG00000248738	5.71899382862889	0.00222298858540683
ENSG00000262098	5.66877749924504	0.0024161793974776
